Sample ID,User ID,Date ,Time ,ng/ul ,A260 ,A280 ,260/280 ,260/230 ,Constant ,Cursor Pos.,Cursor abs.,340 raw,welcher drop,,Legende
503,Default,4/13/2018,10:30,135.78,2.716,1.458,1.86,2.09,50,230,1.297,0.052,nanodrop_1,,
249,Default,4/13/2018,10:31,82.91,1.658,0.915,1.81,1.71,50,230,0.969,0.024,nanodrop_1,,
241,Default,4/13/2018,10:32,295.74,5.915,3.172,1.86,1.84,50,230,3.208,0.316,nanodrop_1,,
256,Default,4/13/2018,10:33,263.1,5.262,2.788,1.89,2.22,50,230,2.373,0.044,nanodrop_1,,
60,Default,4/13/2018,10:34,98.1,1.962,1.051,1.87,1.02,50,230,1.928,0.243,nanodrop_1,,
68,Default,4/13/2018,10:35,130.49,2.61,1.402,1.86,1.22,50,230,2.141,0.113,nanodrop_1,,
507,Default,4/13/2018,10:35,206.9,4.138,2.194,1.89,2.01,50,230,2.063,0.007,nanodrop_1,,
523,Default,4/13/2018,10:36,132.95,2.659,1.421,1.87,1.41,50,230,1.89,0.044,nanodrop_1,,
171,Default,4/13/2018,10:37,138.62,2.772,1.464,1.89,1.88,50,230,1.477,0.044,nanodrop_1,,
238,Default,4/13/2018,10:38,70.38,1.408,0.749,1.88,1.42,50,230,0.992,-0.065,nanodrop_1,,
125,Default,4/13/2018,10:39,217.15,4.343,2.31,1.88,2.11,50,230,2.059,0.037,nanodrop_1,,
226,Default,4/13/2018,10:39,165.21,3.304,1.772,1.86,1.99,50,230,1.658,0.121,nanodrop_1,,
63,Default,4/13/2018,10:40,193.66,3.873,2.088,1.85,1.67,50,230,2.318,0.086,nanodrop_1,,
506,Default,4/13/2018,10:41,15.37,0.307,0.194,1.59,0.42,50,230,0.726,0.006,nanodrop_1,,
76,Default,4/13/2018,10:42,48.24,0.965,0.514,1.88,1,50,230,0.963,0.017,nanodrop_1,,
57,Default,4/13/2018,10:43,2.9,0.058,0.077,0.76,0.4,50,230,0.147,0.035,nanodrop_1,,
535,Default,4/13/2018,10:43,249.21,4.984,2.622,1.9,1.47,50,230,3.395,0.017,nanodrop_1,,
149,Default,4/13/2018,10:44,181.94,3.639,1.938,1.88,2.1,50,230,1.734,0.006,nanodrop_1,,
146,Default,4/13/2018,10:45,189.14,3.783,2.001,1.89,1.99,50,230,1.901,0.058,nanodrop_1,,
251,Default,4/13/2018,10:46,107.12,2.142,1.146,1.87,1.81,50,230,1.185,0.011,nanodrop_1,,
95,Default,4/13/2018,10:47,121.83,2.437,1.338,1.82,1.17,50,230,2.086,0.245,nanodrop_1,,
67,Default,4/13/2018,10:47,57.8,1.156,0.645,1.79,0.4,50,230,2.883,0.608,nanodrop_1,,
15,Default,4/13/2018,10:48,112.84,2.257,1.217,1.85,1.4,50,230,1.609,3.606,nanodrop_1,,
375,Default,4/13/2018,10:49,134.93,2.699,1.452,1.86,1.78,50,230,1.515,0.075,nanodrop_1,,
64,Default,4/13/2018,10:50,326.08,6.522,3.487,1.87,2.16,50,230,3.023,0.093,nanodrop_1,,
243,Default,4/13/2018,10:50,261.14,5.223,2.778,1.88,1.88,50,230,2.773,0.037,nanodrop_1,,
252,Default,4/13/2018,10:51,111.26,2.225,1.211,1.84,1.68,50,230,1.321,0.152,nanodrop_1,,
224,Default,4/13/2018,10:52,183.57,3.671,1.942,1.89,2.16,50,230,1.703,0.033,nanodrop_1,,
533,Default,4/13/2018,10:52,314.39,6.288,3.316,1.9,1.77,50,230,3.542,0.009,nanodrop_1,,
71,Default,4/13/2018,10:53,49.24,0.985,0.536,1.84,0.87,50,230,1.134,0.908,nanodrop_1,,
61,Default,4/13/2018,10:54,53.57,1.071,0.656,1.63,0.65,50,230,1.642,0.231,nanodrop_1,,
510,Default,4/13/2018,10:55,147.57,2.951,1.583,1.86,1.83,50,230,1.614,0.037,nanodrop_1,,
172,Default,4/13/2018,10:55,134.31,2.686,1.423,1.89,2.09,50,230,1.288,0.027,nanodrop_1,,
235,Default,4/13/2018,10:56,181.79,3.636,1.966,1.85,1.72,50,230,2.117,0.078,nanodrop_1,,
120,Default,4/13/2018,10:57,74.26,1.485,0.777,1.91,2.06,50,230,0.723,0.024,nanodrop_1,,
248,Default,4/13/2018,10:58,201.11,4.022,2.157,1.86,1.76,50,230,2.286,0.053,nanodrop_1,,
513,Default,4/13/2018,10:59,193.3,3.866,2.059,1.88,1.84,50,230,2.097,0.041,nanodrop_1,,
525,Default,4/13/2018,11:00,7.24,0.145,0.092,1.58,0.1,50,230,1.522,0.247,nanodrop_1,,
94,Default,4/13/2018,11:01,108.74,2.175,1.186,1.83,1.44,50,230,1.509,0.064,nanodrop_1,,
529,Default,4/13/2018,11:01,4.96,0.099,0.049,2.03,0.34,50,230,0.288,0.003,nanodrop_1,,
8,Default,4/13/2018,11:02,302,6.04,3.189,1.89,2.24,50,230,2.697,0.037,nanodrop_1,,
76,Default,4/13/2018,11:03,194.7,3.894,2.076,1.88,2.17,50,230,1.795,0.059,nanodrop_1,,
240,Default,4/13/2018,11:04,165.84,3.317,1.78,1.86,1.91,50,230,1.734,0.09,nanodrop_1,,
14,Default,4/13/2018,11:06,45.44,0.909,0.466,1.95,0.44,50,230,2.074,-0.01,nanodrop_1,,
176,Default,4/13/2018,11:07,143.63,2.873,1.559,1.84,2,50,230,1.437,0.034,nanodrop_1,,
232,Default,4/13/2018,11:07,192.9,3.858,2.034,1.9,1.65,50,230,2.343,0.021,nanodrop_1,,
473,Default,4/13/2018,11:08,12.26,0.245,0.059,4.15,0.13,50,230,1.911,0.335,nanodrop_1,,
289,Default,4/13/2018,11:09,48.1,0.962,0.52,1.85,1.34,50,230,0.716,0.162,nanodrop_1,,
205,Default,4/13/2018,11:09,39.2,0.784,0.438,1.79,0.52,50,230,1.515,0.126,nanodrop_1,,
173,Default,4/13/2018,11:10,77.2,1.544,0.837,1.85,1.2,50,230,1.287,0.078,nanodrop_1,,
48,Default,4/13/2018,11:11,40.2,0.804,0.455,1.77,0.93,50,230,0.862,0.098,nanodrop_1,,
54,Default,4/13/2018,11:12,113.71,2.274,1.229,1.85,1.82,50,230,1.247,0.062,nanodrop_1,,
31,Default,4/13/2018,11:12,57.53,1.151,0.722,1.59,0.89,50,230,1.286,4.06,nanodrop_1,,
1,Default,4/13/2018,11:13,37.9,0.758,0.426,1.78,0.85,50,230,0.891,0.022,nanodrop_1,,
336,Default,4/13/2018,11:14,129.98,2.6,1.414,1.84,2,50,230,1.299,0.066,nanodrop_1,,
216,Default,4/13/2018,11:19,103.65,2.073,1.134,1.83,1.39,50,230,1.497,0.02,nanodrop_1,,
177,Default,4/13/2018,11:20,256.04,5.121,2.691,1.9,2.08,50,230,2.46,0.035,nanodrop_1,,
193,Default,4/13/2018,11:20,52.67,1.053,0.554,1.9,1.76,50,230,0.6,0.047,nanodrop_1,,
44,Default,4/13/2018,11:21,183.33,3.667,1.957,1.87,1.66,50,230,2.209,0.103,nanodrop_1,,
34,Default,4/13/2018,11:22,34.06,0.681,0.385,1.77,0.38,50,230,1.812,0.017,nanodrop_1,,
