"IZW_ID","date_found","location_lat","location_long","area","sex","age","weight_kg","condition"
"446","18.10.2017","52.586233","13.341907","Berlin","male","adult","7.6","excellent"
"448","24.10.2017","52.419526","13.398331","Berlin","male","juvenil","5.8","excellent"
"450","30.10.2017","52.54067","13.45161","Berlin","female","adult","3.4","excellent"
"451","28.10.2017","52.472259","13.347992","Berlin","female","adult","6.3","excellent"
"452","31.10.2017","52.552187","13.308557","Berlin","male","adult","4.3","excellent"
"453","31.10.2017","52.544027","13.324629","Berlin","male","adult","4.8","excellent"
"454","03.11.2017","52.498749","13.414202","Berlin","male","adult","6.2","excellent"
"455","03.11.2017","52.535458","13.538935","Berlin","female","adult","4.5","excellent"
"456","08.11.2017","52.550173","13.150801","Berlin","female","adult","4.2","excellent"
"459","03.11.2017","52.562913","13.451101","Berlin","female","adult","6","excellent"
"46","22.09.2016","52.845764","12.385891","Brandenburg","male","adult","5.5",NA
"461","43053","52.58313","13.429874","Berlin","male","adult","6","excellent"
"464","14.11.2017","52.500931","13.543701","Berlin","female","adult","3.2","excellent"
"466","10.11.2017","52.500659","13.462993","Berlin","female","adult","6.4","excellent"
"467","13.11.2017","52.527867","13.5726","Berlin","male","juvenil","3.3","autolytic"
"468","17.11.2017","52.537397","13.513142","Berlin","female","adult","4.9","excellent"
"469","18.11.2017","52.572721","13.520569","Berlin","female","adult","5.8","excellent"
"47","22.09.2016","52.387522","13.277952","Brandenburg","male","juvenile","5.3",NA
"470","19.11.2017","52.43849","13.503185","Berlin","male","adult","7.1","excellent"
"474",NA,"52.545671","13.194445","Berlin","male","adult","6.2","excellent"
"475","27.11.2017","52.482525","13.557716","Berlin","female","adult","3.1","excellent"
"476","26.11.2017","52.474301","13.361156","Berlin","male","adult","6.4","excellent"
"478","29.11.2017","52.106747","14.643736","Brandenburg","male","adult","6","excellent"
"479","03.12.2017","52.423292","13.314425","Berlin","female","adult","5.3","excellent"
"48","29.09.2016","52.552739","13.360635","Berlin","male","adult","4.8","excellent"
"480","03.12.2017","52.504292","13.373427","Berlin","male","adult","5.6","excellent"
"481","03.12.2017","52.564606","13.49947","Berlin","male","adult","5.5","excellent"
"483","05.12.2017","52.535419","13.20545","Berlin","female","adult","3","excellent"
"485","03.12.2017","52.546124","13.572037","Berlin","male","adult","6","excellent"
"486","04.12.2017","52.52574","13.571226","Berlin","male","adult","3.9","autolytic"
"488","06.12.2017","52.521004","13.59775","Berlin","male","adult","5.7","excellent"
"491","19.12.2017","52.512966","13.590864","Berlin","female","adult","3.6","excellent"
"492","21.12.2017","52.458461","13.414323","Berlin","male","adult","6","autolytic"
"494","26.12.2017","52.469259","13.573136","Berlin","male","adult","6.1","excellent"
"496","25.12.2017","52.567606","13.29969","Berlin","female","adult","2.4","excellent"
"498","29.12.2017","52.560869","13.171685","Berlin","female","adult","4.7","excellent"
"499","29.12.2017","52.495441","13.551594","Berlin","male","adult","5","excellent"
"500","03.01.2018","52.531883","13.326752","Berlin","female","adult","5.5","excellent"
"504","05.01.2018","52.431401","13.376315","Berlin","female","adult","5.5","excellent"
"508","15.01.2018","52.445421","13.23673","Berlin","male","adult","3.7","excellent"
"511","12.01.2018","52.589202","13.540149","Berlin","male","adult","5.6","excellent"
"512","15.01.2018","52.503353","13.61456","Berlin","male","adult","3.4","excellent"
"513","17.01.2018","52.478549","13.56281","Berlin","male","adult","5.2","excellent"
"514","17.01.2018","52.525748","13.538078","Berlin","male","adult","6.2","autolytic"
"517","19.01.2018","52.511142","13.40476","Berlin","female","adult","5.8","excellent"
"518","20.01.2018","52.529063","13.516857","Berlin","male","adult","6.5","excellent"
"520","20.01.2018","52.414794","13.260048","Berlin","female","adult","4.8","excellent"
"521","20.01.2018","52.481559","13.430584","Berlin","male","adult","6.7","excellent"
"526","25.01.2018","52.526646","13.543735","Berlin","male","adult","6.9","autolytic"
"528","26.01.2018","52.50174","13.450771","Berlin","female","adult","4.9","excellent"
"53",NA,"52.529569","13.37354","Berlin","male","adult","7","excellent"
"530","29.01.2018","52.571433","13.299178","Berlin","male","adult","6.2","excellent"
"532",NA,"52.436874","13.472293","Berlin","male","adult","7.2","excellent"
"533","04.02.2018","52.514116","13.57589","Berlin","male","adult","4.7","excellent"
"535","02.02.2018","52.420767","13.722014","Berlin","male","adult","7.9","autolytic"
"536","05.02.2018","52.454717","13.505029","Berlin","female","adult","5.5","excellent"
"537","04.02.2018","52.433741","13.390429","Berlin","male","adult","8","excellent"
"538","09.02.2018","52.526694","13.37062","Berlin","female","adult","5.7","autolytic"
"54","05.10.2016","52.545878","13.332435","Berlin","female","juvenil","4.5","excellent"
"540","08.02.2018","52.563786","13.200602","Berlin","female","adult","4.7","excellent"
"543",NA,"52.471195","13.365663","Berlin","male","adult","6.2","autolytic"
"546","20.02.2018","52.799844","13.739238","Brandenburg","female","adult","4.3","autolytic"
"551","06.02.2018","52.4775","14.4367","Brandenburg","female","adult","3.3","excellent"
"552","27.02.2018","52.40415","12.776413","Brandenburg","female","adult","4.6","excellent"
"553","25.02.2018","43.64633","3.794295","Brandenburg","female","adult","4.6","excellent"
"554","27.02.2018","52.371581","12.932913","Brandenburg","male","adult","4.3","excellent"
"557","04.02.2018","53.542201","13.903667","Brandenburg","male","adult","5.7","excellent"
"558","01.02.2018","52.59897","12.295434","Brandenburg","male","adult","4.9","excellent"
"559","08.03.2018","51.465032","13.982035","Brandenburg","male","adult","4.8","autolytic"
"560","12.03.2018","51.927667","13.334284","Brandenburg","male","adult","6.8","autolytic"
"562","17.03.2018","51.941767","13.897129","Brandenburg","female","adult","4.9","excellent"
"564","15.03.2018","53.226662","13.556873","Brandenburg","male","adult","6.2","excellent"
"566","19.03.2018","52.728234","12.627798","Brandenburg","female","adult","6.8","excellent"
"567","18.03.2018","51.795148","13.643118","Brandenburg","male","adult","5.2","excellent"
"568","21.03.2018","53.211005","14.208598","Brandenburg","male","adult","4.5","excellent"
"569","21.03.2018","53.017276","13.99815","Brandenburg","male","adult","4.2","excellent"
"570","16.03.2018","52.342006","12.68451","Brandenburg","male","adult","6.2","excellent"
"572","19.03.2018","52.387478","14.21064","Brandenburg","male","adult","5.3","excellent"
"573","18.03.2018","53.017276","13.99815","Brandenburg","female","adult","6.1","excellent"
"575","18.03.2018","52.401007","14.165196","Brandenburg","male","adult","6.5","excellent"
"576","24.03.2018","51.795148","13.643118","Brandenburg","female","adult","5.1","excellent"
"578","25.03.2018","52.777825","13.83689","Brandenburg","female","adult","4.7","excellent"
"580","25.03.2018","52.759003","12.881421","Brandenburg","male","adult","5.2","excellent"
"582","25.03.2018","52.967651","12.765569","Brandenburg","female","adult","4.6","excellent"
"585","21.03.2018","52.387478","14.21064","Brandenburg","male","adult","5.8","excellent"
"59",NA,"52.463117","13.385455","Berlin","male","juvenil","4.4","excellent"
"590",NA,"51.669797","13.472771","Brandenburg","male","adult","4.9","autolytic"
"594","02.04.2018","52.405961","12.513016","Brandenburg","male","adult","5.8","excellent"
"6","10.08.2016","52.517514","13.516746","Berlin","female","juvenil","3","excellent"
"603","07.04.2018","51.941767","13.897129","Brandenburg","female","adult","4.5","excellent"
"606","10.04.2018","52.51089","14.328641","Brandenburg","female","adult","4.9","excellent"
"608","10.04.2018","51.795148","13.643118","Brandenburg","male","adult","5","excellent"
"61","14.10.2016","52.604238","13.326627","Berlin","male","juvenil","6","excellent"
"611","10.04.2018","52.500759","14.321757","Brandenburg","female","adult","4.8","excellent"
"612","10.04.2018","52.90819","12.839136","Brandenburg","female","adult","4.5","excellent"
"613","09.04.2018","53.004517","13.04131","Brandenburg","male","adult","4.6","excellent"
"614","17.04.2018","52.9028","13.871936","Brandenburg","male","adult","3.5","excellent"
"617","12.04.2018","53.017276","13.99815","Brandenburg","male","adult","4.3","excellent"
"618","16.04.2018","52.83515","13.799701","Brandenburg","male","adult","3.4","excellent"
"619","12.04.2018","52.405961","12.513016","Brandenburg","female","adult","2.8","excellent"
"62",NA,"52.557448","13.349864","Berlin","male","juvenil","5.5","excellent"
"63","15.10.2016","52.507024","13.23532","Berlin","female","adult"," NA ","autolytic"
"64","19.10.2016","52.535041","13.35807","Berlin","male","adult","4.3","excellent"
"68","25.10.2016","52.451813","13.485854","Berlin","male","juvenil","5.4","excellent"
"69","27.10.2016","52.449878","13.304409","Berlin","female","juvenil","5.3","excellent"
"71","28.10.2016","52.396743","13.405963","Berlin","male","juvenil","6.7","excellent"
"74","30.10.2016","52.474674","13.28984","Berlin","female","adult","3.5","autolytic"
"75","30.10.2016","52.562027","13.360221","Berlin","male","adult","7","excellent"
"79","28.10.2016","51.954969","13.886093","Brandenburg","male","adult","8.4",NA
"83","06.11.2016","52.541663","13.334967","Berlin","female","adult","5","excellent"
"85","05.11.2016","52.477212","13.288481","Berlin","male","juvenil","5.2","excellent"
"87","08.11.2016","52.43554","13.269506","Berlin","male","adult","6.6","excellent"
"88","10.11.2016","52.430669","13.263701","Berlin","male","adult","6.1","excellent"
"9",NA,"52.509809","13.543729","Berlin","male","adult","7.3","excellent"
"91","10.11.2016","52.517839","13.445981","Berlin","female","adult","3.9","excellent"
"92","11.11.2016","52.44217","13.254175","Berlin","male","juvenil","4.4","excellent"
"96","20.11.2016","52.506165","13.401706","Berlin","female","adult","5.6","excellent"
