IZW ID,LLBB ID,date_found,location_lat,location_long,location_qual,area,condition,sex (m/f),age (j/a), weight (kg) ,instestil,muscle,hair,vibrisses,anthropogenic food,food comment,origin,date_dissect,species,location comment
382,17-51218-UTF 1346,11/07/2017,52.565333,13.470484,1,Berlin,autolytic,female,adult, 3.80    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,11/07/2017 09:09,Rotfuchs,"Fundort: Berliner Allee 313, 13088 BerlinVorgangsnummer: 170711-1730-262103 Pol.A 14"
383,17-51218-UTF 1356,14/07/2017,52.469462 ,13.235967,1,Berlin,excellent,female,adult, 4.30    ,yes,yes,yes,yes,NA,"plant fibres, beige-pinkish mash",BA Steglitz-Zehlendorf   R06,14/07/2017 09:01,Rotfuchs,"Fundort: BAB 115, Abfahrt Hüttenweg, Anfang Kronprinzessinenweg, 14129 BerlinVorgangsnummer: 170714-0908-038849 Pol.A 43"
384,17-51218-UTF 1357,13/07/2017,52.539457,13.394527,1,Berlin,excellent,male,juvenil, 4.60    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,14/07/2017 09:10,Rotfuchs,"Fundort: Brunnenstr. 128, 13355 BerlinVorgangsnummer: 170713-1930-269290 Pol.A 36"
385,17-51218-UTF  839,29/04/2017,52.524638 ,13.46532,1,Berlin,excellent,female,juvenil, 2.40    ,yes,yes,yes,yes,no,rodent (mouse?),BA Lichtenberg   R11,02/05/2017 10:31,Rotfuchs,"Fundort: Storkower Straße 207, 10369 BerlinPolizei A 64Vorgangsnummer: 170429-0625-038278"
385,17-51218-UTF 1358,14/07/2017,52.507339,13.258289,1,Berlin,autolytic,female,adult, 2.40    ,yes,yes,yes,yes,no,empty,BA Charlottenburg-Wilmersdf. R04,17/07/2017 08:02,Rotfuchs,"Fundort: Soldauer Allee 21, 14055 BerlinVorgangsnummer: 170714-1830-022076 Pol.A 22"
386,17-51218-UTF 1359,15/07/2017,52.539285,13.392732,1,Berlin,excellent,female,juvenil, 3.50    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,17/07/2017 08:06,Rotfuchs,"Fundort: Stralsunder Str. 18, 13355 BerlinVorgangsnummer: 170715-0930-249475 Pol.A 36"
387,17-51218-UTF 1360,NA,52.543921,13.407451,3,Berlin,excellent,female,juvenil, 4.30    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,17/07/2017 08:08,Rotfuchs,"Fundort: Friedrich- Ludwig- Jahn Sportpark, 10437 Berlin, Pol.A 15Tötung durch Stadtförster."
388,17-51218-UTF 1392,17/07/2017,52.516881,13.343548,1,Berlin,autolytic,male,juvenil, 2.90    ,yes,yes,yes,yes,no,empty,BA Mitte  R01,18/07/2017 09:47,Rotfuchs,"Fundort: Altonaer Str.5, 10557 BerlinVorgangsnummer: 170717-1800-302105 Pol.A 34"
389,17-51218-UTF 1393,17/07/2017,52.522585,13.580867,1,Berlin,excellent,male,adult, 2.70    ,yes,yes,yes,yes,no,"cherry pits, brownish liquid",BA Marzahn-Hellersdorf   R10,18/07/2017 09:47,Rotfuchs,"Fundort: Teterower Ring 69, 12619 BerlinVorgangsnummer: 170717-2016-038413 Pol.A 63"
390,17-51218-UTF 1407,19/07/2017,52.444097,13.2419,1,Berlin,excellent,male,adult, 4.70    ,yes,yes,yes,yes,yes,"fluid with pieces, spaghetti, carrots",BA Steglitz-Zehlendorf   R06,19/07/2017 09:14,Rotfuchs,"Fundort: Argentinische Allee 47, 14163 BerlinVorgangsnummer: 170719-0130-187233 Pol.A 43"
