"Variable","Coefficient","CI_low","Q_25","Q_50","Q_75","CI_high","Species"
"FunM_Species_richness",-0.0401535598754482,-0.0789026403561949,-0.0521259609303784,-0.0393892554182572,-0.0273220304114184,-0.00576782865963512,"Clonorchis"
"(Intercept)",0.753981901673817,-1.08780768097707,0.120347535407604,0.748789495271065,1.37809796644565,2.62678858303631,"Mesocestoides"
"sex[male]",-0.187316613311166,-0.688239074173598,-0.35763977031725,-0.188046066400416,-0.0167550381191841,0.309032406719077,"Mesocestoides"
"weight_kg",-0.11882457023431,-0.316355113340134,-0.184129893409655,-0.117661229002894,-0.0513913967607541,0.0730221654725452,"Mesocestoides"
"season[spring]",0.471892431480237,-0.197235327221191,0.244265777375343,0.471683649037812,0.69838680533613,1.14239803623767,"Mesocestoides"
"season[winter]",0.658926663535421,0.111365298789163,0.4695309781498,0.656487507385567,0.847202658696936,1.21236051594145,"Mesocestoides"
"human_fpi_1000m",-0.0236843317432755,-0.0490622929316874,-0.0321399191279469,-0.0235146630447333,-0.0149371708576435,0.00139678525312044,"Mesocestoides"
"tree_cover_1000m",0.00157449842078435,-0.0120639902324299,-0.00312384970871298,0.0015481399617153,0.00622421943370721,0.0152470666320884,"Mesocestoides"
"Diet_Species_richness",-0.0162799464097825,-0.0888845381998986,-0.0404938056549327,-0.0159805910945986,0.00832879544790098,0.054371192280893,"Mesocestoides"
"BacM_Species_richness",-0.00446819260408623,-0.0301155851529702,-0.0130825130686255,-0.00445637598537609,0.00430942479887187,0.0211961065228904,"Mesocestoides"
"FunM_Species_richness",-0.00353375950305752,-0.024424458569018,-0.0105684680264991,-0.00347007198947429,0.00360499042579201,0.0171479830897807,"Mesocestoides"
"(Intercept)",-2.25313044804269,-4.23457425331413,-2.91829386249701,-2.24416382162305,-1.57366006300972,-0.305950209603997,"Angiostrongylus"
"sex[male]",0.144790890173598,-0.409308944683356,-0.0407162220366661,0.148765467347303,0.334711360142625,0.682679709815522,"Angiostrongylus"
"weight_kg",-0.146890174411068,-0.351593615423532,-0.216831675911257,-0.146791727985524,-0.0768861424525376,0.0568364379879404,"Angiostrongylus"
"season[spring]",0.0190496680691602,-0.648560833912865,-0.205145431632544,0.0200231134266299,0.244883792797927,0.675942398996759,"Angiostrongylus"
"season[winter]",0.432356687319315,-0.113606448398623,0.243364147875431,0.430207459355768,0.621174240654114,0.983177315447951,"Angiostrongylus"
