"Variable","Coefficient","CI_low","Q_25","Q_50","Q_75","CI_high","Species"
"Diet_Species_richness",0.0128406728165722,-0.0914118125823291,-0.0225628085128014,0.0128305560286084,0.048177282560117,0.11731974821888,"Clonorchis"
"BacM_Species_richness",-0.0125651380575599,-0.0523655237447973,-0.0260700184983304,-0.0125150960337126,0.000990300375016672,0.0270621191141006,"Clonorchis"
"FunM_Species_richness",-0.0339109529794659,-0.0700329356586821,-0.0452835813793022,-0.033427102445397,-0.0218163253076907,-0.000829850263511087,"Clonorchis"
"(Intercept)",-0.160297584183864,-1.5054154318529,-0.6190070151524,-0.160228057692519,0.300409156474084,1.1743069122463,"Mesocestoides"
"sex[male]",-0.168930235161327,-0.684306094911131,-0.343090231761939,-0.167631433842526,0.00591036111437706,0.338325452257087,"Mesocestoides"
"weight_kg",-0.0705491507947263,-0.273075163389049,-0.139483632946767,-0.0705228591047588,-0.00154797818366308,0.131399477254248,"Mesocestoides"
"season[spring]",0.0839920472216084,-0.671960617510046,-0.174054005791049,0.0862298565931595,0.341616002001938,0.836731203072669,"Mesocestoides"
"season[winter]",0.468390582833041,-0.108217914592306,0.266310786360087,0.467491189069944,0.667531668654444,1.05573598876806,"Mesocestoides"
"area[Brandenburg]",0.761764782427527,0.166372662514759,0.555658081537154,0.75919034752972,0.965750933269039,1.37241514405744,"Mesocestoides"
"Diet_Species_richness",-0.00813546958883154,-0.0843784664583159,-0.0335155095788166,-0.00801666518416654,0.0176059057952559,0.0663648958565442,"Mesocestoides"
"BacM_Species_richness",-0.00879702896244242,-0.0370880551715544,-0.0184947035949449,-0.00876221698503165,0.000861321958129553,0.0192203254734323,"Mesocestoides"
"FunM_Species_richness",-0.00239688887572352,-0.0232494119395617,-0.00944446881968288,-0.00231041676682922,0.00472236019807765,0.0182176704995506,"Mesocestoides"
"(Intercept)",1.66315678370113,0.244096937630055,1.16765114424908,1.65623292443992,2.14871750792412,3.12065481143837,"Angiostrongylus"
"sex[male]",0.0593108689795215,-0.527066435035367,-0.133383918527081,0.0618096471429152,0.257262752251739,0.618823779727991,"Angiostrongylus"
"weight_kg",-0.308003500757901,-0.533551409532867,-0.384801309721313,-0.307866844903045,-0.230499664348781,-0.0864561487944752,"Angiostrongylus"
"season[spring]",0.201808615456123,-0.566017903250236,-0.0602296613369031,0.200492057766084,0.462741656840231,0.975017502553138,"Angiostrongylus"
"season[winter]",0.620681916635533,0.0129925540027001,0.409865892822029,0.619684839678199,0.829544214340934,1.23941295848534,"Angiostrongylus"
"area[Brandenburg]",-1.36200331379456,-2.05197848309104,-1.58642241267047,-1.35304229604985,-1.12876406263692,-0.720162105205285,"Angiostrongylus"
"Diet_Species_richness",0.0345282918838286,-0.0467503722285494,0.00599038385195958,0.033831599519338,0.0627839763556394,0.118413648926653,"Angiostrongylus"
"BacM_Species_richness",0.0138811823463624,-0.0158307499508846,0.00353129331081063,0.0137422406226499,0.0241650067172088,0.0443856633889121,"Angiostrongylus"
"FunM_Species_richness",0.0029972490800702,-0.019217300450057,-0.00469796216560217,0.00294386213479443,0.0106614170590314,0.0255858916797531,"Angiostrongylus"
"(Intercept)",2.62411737116675,1.17120033620542,2.1071034416476,2.60659383131155,3.11818171060059,4.18196617090038,"Uncinaria"
"sex[male]",0.374964578665087,-0.167597938314765,0.185469479770029,0.371227720336876,0.561886195379491,0.929578586689144,"Uncinaria"
"weight_kg",-0.384881407845945,-0.622437034685157,-0.461391927022192,-0.382790198532139,-0.305212429829,-0.163605563447022,"Uncinaria"
"season[spring]",0.316201176922711,-0.444850136571235,0.0489833937183036,0.313458165611399,0.577796835559383,1.09799775055893,"Uncinaria"
"season[winter]",-0.16084672197891,-0.739433374924906,-0.352790741605909,-0.15905592182604,0.0341519969566162,0.398177804732355,"Uncinaria"
"area[Brandenburg]",0.233980341675944,-0.39333549414919,0.0182771995289064,0.23317045617887,0.447967418548009,0.866193564697909,"Uncinaria"
"Diet_Species_richness",-0.147198341713639,-0.242457578772404,-0.177267797319954,-0.145770716711906,-0.115525871106315,-0.0607331225999341,"Uncinaria"
"BacM_Species_richness",-0.0128381593614461,-0.0432017117296891,-0.023144288434051,-0.0127158684942984,-0.00242742338017525,0.0170639786775802,"Uncinaria"
